@relation R_data_frame

@attribute Primary.Type {ARSON,ASSAULT,BATTERY,BURGLARY,'CONCEALED CARRY LICENSE VIOLATION','CRIM SEXUAL ASSAULT','CRIMINAL DAMAGE','CRIMINAL TRESPASS','DECEPTIVE PRACTICE',GAMBLING,HOMICIDE,'INTERFERENCE WITH PUBLIC OFFICER',INTIMIDATION,KIDNAPPING,'LIQUOR LAW VIOLATION','MOTOR VEHICLE THEFT',NARCOTICS,NON-CRIMINAL,OBSCENITY,'OFFENSE INVOLVING CHILDREN','OTHER OFFENSE',PROSTITUTION,'PUBLIC PEACE VIOLATION',ROBBERY,'SEX OFFENSE',STALKING,THEFT,'WEAPONS VIOLATION'}
@attribute Location.Description {'','ABANDONED BUILDING',AIRCRAFT,'AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA','AIRPORT BUILDING NON-TERMINAL - SECURE AREA','AIRPORT EXTERIOR - NON-SECURE AREA','AIRPORT EXTERIOR - SECURE AREA','AIRPORT PARKING LOT','AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA','AIRPORT TERMINAL LOWER LEVEL - SECURE AREA','AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA','AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA','AIRPORT TERMINAL UPPER LEVEL - SECURE AREA','AIRPORT VENDING ESTABLISHMENT',ALLEY,'ANIMAL HOSPITAL',APARTMENT,'APPLIANCE STORE','ATHLETIC CLUB','ATM (AUTOMATIC TELLER MACHINE)',AUTO,'AUTO / BOAT / RV DEALERSHIP',BANK,'BAR OR TAVERN',BARBERSHOP,'BOWLING ALLEY',BRIDGE,'CAR WASH','CHA APARTMENT','CHA HALLWAY/STAIRWELL/ELEVATOR','CHA PARKING LOT/GROUNDS','CHURCH/SYNAGOGUE/PLACE OF WORSHIP','CLEANING STORE','COLLEGE/UNIVERSITY GROUNDS','COLLEGE/UNIVERSITY RESIDENCE HALL','COMMERCIAL / BUSINESS OFFICE','CONSTRUCTION SITE','CONVENIENCE STORE','CTA BUS','CTA BUS STOP','CTA GARAGE / OTHER PROPERTY','CTA PLATFORM','CTA PROPERTY','CTA STATION','CTA TRAIN','CURRENCY EXCHANGE','DAY CARE CENTER','DEPARTMENT STORE','DRIVEWAY - RESIDENTIAL','DRUG STORE','FACTORY/MANUFACTURING BUILDING','FEDERAL BUILDING','FOREST PRESERVE','GAS STATION','GOVERNMENT BUILDING/PROPERTY','GROCERY FOOD STORE','HOSPITAL BUILDING/GROUNDS',HOTEL/MOTEL,HOUSE,LIBRARY,'MEDICAL/DENTAL OFFICE','MOVIE HOUSE/THEATER',NEWSSTAND,'NURSING HOME/RETIREMENT HOME',OTHER,'OTHER COMMERCIAL TRANSPORTATION','OTHER RAILROAD PROP / TRAIN DEPOT','PARK PROPERTY','PARKING LOT','PARKING LOT/GARAGE(NON.RESID.)','PAWN SHOP','POLICE FACILITY/VEH PARKING LOT','POOL ROOM',RESIDENCE,RESIDENCE-GARAGE,'RESIDENCE PORCH/HALLWAY','RESIDENTIAL YARD (FRONT/BACK)',RESTAURANT,'SAVINGS AND LOAN','SCHOOL, PRIVATE, BUILDING','SCHOOL, PRIVATE, GROUNDS','SCHOOL, PUBLIC, BUILDING','SCHOOL, PUBLIC, GROUNDS',SIDEWALK,'SMALL RETAIL STORE','SPORTS ARENA/STADIUM',STREET,'TAVERN/LIQUOR STORE',TAXICAB,'VACANT LOT/LAND',VEHICLE-COMMERCIAL,'VEHICLE - DELIVERY TRUCK','VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)','VEHICLE NON-COMMERCIAL',WAREHOUSE}
@attribute Arrest {false,true}
@attribute Domestic {false,true}
@attribute Latitude numeric
@attribute Longitude numeric

@data
HOMICIDE,'CTA PROPERTY',false,false,41.769185,-87.625732
HOMICIDE,STREET,false,false,41.751897,-87.553778
'DECEPTIVE PRACTICE','DEPARTMENT STORE',false,false,?,?
'CRIM SEXUAL ASSAULT',APARTMENT,false,false,?,?
BATTERY,SIDEWALK,false,false,?,?
THEFT,'CTA PLATFORM',false,false,?,?
'OFFENSE INVOLVING CHILDREN',RESIDENCE,false,true,?,?
THEFT,TAXICAB,false,false,?,?
THEFT,STREET,false,false,?,?
'DECEPTIVE PRACTICE','SAVINGS AND LOAN',false,false,?,?
THEFT,'TAVERN/LIQUOR STORE',false,false,?,?
ROBBERY,STREET,false,false,?,?
BATTERY,STREET,false,false,?,?
THEFT,SIDEWALK,false,false,?,?
THEFT,STREET,false,false,?,?
BATTERY,'PARKING LOT/GARAGE(NON.RESID.)',false,false,?,?
'DECEPTIVE PRACTICE',RESIDENCE,false,false,?,?
'OFFENSE INVOLVING CHILDREN','SCHOOL, PUBLIC, BUILDING',false,false,?,?
THEFT,RESTAURANT,false,false,?,?
'DECEPTIVE PRACTICE',APARTMENT,false,false,?,?
'OTHER OFFENSE',APARTMENT,false,false,?,?
'DECEPTIVE PRACTICE',RESIDENCE,false,false,?,?
'MOTOR VEHICLE THEFT','RESIDENTIAL YARD (FRONT/BACK)',false,false,?,?
THEFT,'GOVERNMENT BUILDING/PROPERTY',false,false,?,?
BATTERY,APARTMENT,false,true,?,?
THEFT,RESIDENCE,false,false,?,?
ASSAULT,'SCHOOL, PUBLIC, BUILDING',false,false,?,?
'DECEPTIVE PRACTICE',RESIDENCE,false,false,?,?
BURGLARY,RESIDENCE,false,false,?,?
'CRIMINAL DAMAGE',RESIDENCE-GARAGE,false,false,?,?
THEFT,'AIRPORT EXTERIOR - NON-SECURE AREA',false,false,?,?
'CRIMINAL DAMAGE',STREET,false,false,?,?
ASSAULT,RESIDENCE,false,true,?,?
'CRIMINAL DAMAGE',STREET,false,false,?,?
THEFT,STREET,false,false,?,?
THEFT,RESIDENCE,false,false,?,?
'CRIMINAL DAMAGE',RESIDENCE,false,false,?,?
BATTERY,RESIDENCE,false,true,?,?
'MOTOR VEHICLE THEFT',STREET,false,false,?,?
ASSAULT,STREET,false,false,?,?
ROBBERY,'PARK PROPERTY',false,false,?,?
ASSAULT,STREET,false,false,?,?
THEFT,RESTAURANT,false,false,?,?
'OFFENSE INVOLVING CHILDREN',RESIDENCE,false,true,?,?
THEFT,'RESIDENCE PORCH/HALLWAY',false,false,?,?
'OTHER OFFENSE',RESIDENCE,false,true,?,?
BATTERY,APARTMENT,false,true,?,?
THEFT,OTHER,false,false,?,?
THEFT,'SMALL RETAIL STORE',false,false,?,?
BURGLARY,RESIDENCE,false,false,?,?
THEFT,RESTAURANT,false,false,?,?
'CRIMINAL DAMAGE',STREET,false,false,?,?
'DECEPTIVE PRACTICE',APARTMENT,false,false,?,?
ROBBERY,STREET,false,false,?,?
ROBBERY,STREET,false,false,?,?
BURGLARY,APARTMENT,false,false,?,?
THEFT,APARTMENT,false,false,?,?
ASSAULT,SIDEWALK,false,true,?,?
THEFT,OTHER,false,false,?,?
THEFT,APARTMENT,false,false,?,?
'OTHER OFFENSE',APARTMENT,false,false,?,?
THEFT,'RESIDENCE PORCH/HALLWAY',false,false,?,?
BATTERY,APARTMENT,false,true,?,?
BURGLARY,APARTMENT,false,false,?,?
'LIQUOR LAW VIOLATION',RESTAURANT,true,false,?,?
THEFT,'SMALL RETAIL STORE',false,false,?,?
BURGLARY,OTHER,false,false,?,?
'OTHER OFFENSE',RESIDENCE,false,false,?,?
'OTHER OFFENSE',RESIDENCE,false,false,?,?
'OTHER OFFENSE',RESIDENCE,false,false,?,?
